year,Country,Seoul ,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi ,Gangwon,Chungbuk ,Chungnam ,Jeonbuk,Jeonnam,Gyeongbuk ,Gyeongnam,Jeju
2012,114316,20177,7501,4947,7306,2923,2938,2590,223,28452,3550,3424,4685,3856,4011,5562,7427,1426
2011,114284,20617,7514,4658,6840,2857,3067,2380,0,28444,3562,3675,4819,4176,4138,5322,7207,1395
2010,116858,21768,7645,5107,7354,3002,3189,2597,0,27810,3579,3554,4756,3910,4326,5476,7503,1466
2009,123999,23920,8550,5361,7880,3076,3433,2591,0,29807,3742,3738,5178,4285,4290,5523,7476,1469
2008,116535,23319,7908,5005,7414,2836,3236,2295,0,28379,3394,3354,4472,3784,4021,5287,6981,1238
2007,124072,24615,8677,5330,7854,2925,3449,2581,0,29964,3818,3558,4703,4417,4240,5571,7493,1561
2006,124524,24354,8953,5490,8132,2974,3287,2825,0,30003,3985,3438,4647,4448,4423,5604,7603,1613
2005,128035,25300,9905,5916,8646,3127,3328,2780,0,30358,4105,3469,4594,4471,4394,5828,7844,1663
2004,138932,26994,11334,6635,9546,3558,3942,3024,0,31608,4322,3839,5148,5086,4915,6376,8547,1777
2003,166617,32499,14120,8581,11512,4336,4923,3942,0,36625,5152,4632,5720,6295,6078,7768,10314,2177
2002,144910,29351,12065,7329,9840,3732,4336,3348,0,31288,4632,4259,5074,5179,5296,6683,8737,1962
2001,134608,28962,10489,6248,9378,3534,4058,2983,0,28823,4488,3928,4685,4550,4793,6248,7966,1721
2000,119455,25477,10129,5370,7905,3052,3653,2620,0,24888,3941,3348,4272,4200,4467,5476,7242,1763
1999,117449,25917,9666,5711,7928,2974,3474,2552,0,23820,3920,3384,4119,4239,4310,5510,6813,1473
1998,116294,26090,9895,5484,7918,3112,3409,2536,0,23358,3743,3331,3747,4145,4272,5344,6856,1401
1997,91160,20391,8211,4354,6056,2221,2451,1910,0,17963,2731,2442,2924,3270,3292,4203,5421,1117
1996,79895,18464,6957,3851,4982,1941,2280,0,0,14867,2467,2126,2522,2933,2832,3683,6545,939
1995,68279,16296,6235,3237,4108,1675,1961,0,0,12098,2170,1870,2035,2527,2383,2947,5476,791
1994,65015,16324,6084,2881,3803,1593,1750,0,0,10794,2035,1667,1869,2347,2237,3045,5435,814
1993,59313,14548,5875,2933,3177,1465,1550,0,0,9523,1833,1552,1844,1958,2025,3196,5042,699
1992,53539,13461,5640,2834,2949,1319,1412,0,0,8196,1664,1314,1475,1827,1816,2666,4343,591
